,Unnamed: 0,search_string,date,tweet Id,text,Label,username
0,792.0,"""khud se nafrat""",2020-04-27 07:17:03+00:00,1.2546708824563016e+18," Khud se nafrat horahi hogi 
Dalaal media ko ",0.0,Shanava99813155
1,593.0,"""depression hai""",2021-03-04 17:08:26+00:00,1.3675223363924173e+18,  Hlo sir ji me kota rajshthan se hu mere pita ji ne suicide kr liya hai jiska Karan depression hai pita ji ek chote se contacter the Papa ne ek kaam liya tha multimetle factory se ye factory om birla ji ki hai humne kaam 21/- sq. Feet ke hisab se liya tha or ,0.0,chauhanvikram92
2,791.0,"""depression ka""",2022-02-11 06:42:58+00:00,1.4920263564438036e+18, Ishan will be the highest sold player,0.0,4byes
3,188.0,"""depression hai""",2020-09-30 14:21:52+00:00,1.3113102991868273e+18,"Mery pass tension hai ,depression hai,anxiety hai,ugliness hai.....Tumhare pass kya hai gareebo???
",0.0,kamal_speakxs
4,677.0,"""depression ka""",2021-08-12 17:57:45+00:00,1.425879189614256e+18, Social media to depression ka sabse bada kaaran hai.,0.0,Mona_17apr
5,616.0,"""depression ka""",2012-10-08 13:57:37+00:00,2.5530595258729267e+17, bakit me post concert depression ka??,0.0,flojowe
6,414.0,"""khud se nafrat""",2017-07-24 03:05:48+00:00,8.893206821396439e+17,"Jbh sukh khud dukh de..
To khud se nafrat hojati hai.",0.0,uzairdashtyari
7,298.0,"""depression ka""",2013-06-27 01:12:28+00:00,3.500590200333353e+17,"
Be-los log khudgharz logon se 3-5 saal ziada jeetay hain. Doosron ki madad karnay se depression ka khatra bhi kam ho jata hay. ",0.0,EK_AaS
8,920.0,"""depressed hoon""",2021-08-22 12:26:48+00:00,1.4294197824498647e+18, Or koi cartoon q nh,0.0,Mashoorhamza
9,520.0,"""depression hai""",2018-02-19 19:59:15+00:00,9.656771807799336e+17," Or ap k nazdeek ""will"" har kisi k pas hoti I mean Jo 'in or ah' hon jinko ye tak maloom na ho depression hai kia..?",0.0,farbesticlnc
10,428.0,"""depression ka""",2021-09-13 06:12:15+00:00,1.4372980568614543e+18,"Its been 2 years hum ghr me hain mental torture ha ye depression ka reason ha ye and jab exams hone walay hon gay ye corona chala jai ga 
",0.0,AqsaEhsan14
11,955.0,"""depression hai""",2020-11-22 19:29:17+00:00,1.3305942198414828e+18,mere pass depression hai tumhary pass kya hai,0.0,__Da_fuq
12,133.0,"""depressed hoon""",2021-09-05 08:12:01+00:00,1.43442909576969e+18," Exactly,
But all Muslims cn't put trust on ALLAH but All Momins can!",0.0,samkayani3
13,779.0,"""main marna""",2020-09-23 08:45:55+00:00,1.3086890362281943e+18,"     Dhoni ka ye hai ki , woh mind make up kar leta hai ki muje last ke 2 over main marna hai.. uske pehle jitna bi asan ball aye tab bhi nhin marna...",0.0,sparky797
14,63.0,"""depression ka""",2021-10-30 21:05:01+00:00,1.4545549613505905e+18, Ab depression ka ilaaj dhund rhi hu,0.0,__mansirajput
15,484.0,"""depression hai""",2021-04-05 19:42:58+00:00,1.379157636042666e+18, Yar sorry to say tbh lahore ki hawa mei depression hai :”,0.0,BeLikeShahzaib
16,577.0,"""khud se nafrat""",2016-03-12 15:30:48+00:00,7.086766235461181e+17,"

Logo ke do chehre 
Aj khud se nafrat ho gai mujhe  ku karti hon me kisi peh bharosa...",0.0,HayaBukhari786
17,375.0,"""khud se nafrat""",2017-11-03 15:50:43+00:00,9.264767435773052e+17,Tujhai khud se nafrat hojayge agar mai tujh se tere he andaaz mai baat karun,0.0,Imhabii
18,75.0,"""depression hai""",2022-01-23 18:29:40+00:00,1.4853188353810924e+18, Semester depression hai,0.0,AdmiralShahmir
19,188.0,"""depression hai""",2020-07-04 14:24:35+00:00,1.279420847812477e+18,Yeh konsa depression hai joh WhatsApp ki dp remove karny sy khatam ho jata hai.,0.0,dr__sky
20,536.0,"""main suicide""",2021-03-28 15:41:33+00:00,1.3761977788843704e+18,"      mera
main suicide karane ke lie soch liya tha.logo ka hansee majaak sahata raha 2019 saal mein hospital ke surgen ko mera lower lip dikhaaya. doctor ji ne mera lower lip theek ho jaayega bole. ye sun ke main bahut khush hua lekin sabase bada duhkh mere paas paise nahin hai",0.0,jaishreeshyam_8
21,964.0,"""depression hai""",2021-07-03 22:01:03+00:00,1.4114449067326996e+18,Depression hai raat ki 3 baje ,0.0,sawarkh43761256
22,376.0,"""depressed hoon""",2021-09-01 05:04:08+00:00,1.4329322630381732e+18, hn g ye hi smjhy,0.0,Why_Tayyab
23,846.0,"""khud se nafrat""",2020-03-26 21:04:08+00:00,1.2432826123633746e+18,"Dill jise chata gaya 
Har wo shakhs hame apni hi
Nazron se girata gaya...
Khoob dastoor hai dunya ka 
K jise apna samjho 
Har wo shakhs hame khud se nafrat  karwata gaya.",0.0,FaaniTaurine
24,574.0,"""depression hai""",2017-11-05 18:24:41+00:00,9.272402685118916e+17, E mere jan severe depression hai,0.0,DrWAKYusufzai
25,865.0,"""khud se nafrat""",2020-03-13 08:59:10+00:00,1.2383891267156378e+18,"Koi Meri jesi Zindagi jeene ki khwahish kare to Mera dil chahta he.. ek ek nas kaat k Zindagi ko khtm kardun... Itni azziyat dun apni jaan ko k Zindagi bhi khud se nafrat karne lage... Marne ki khwahish me jeena kesa he, kbhi haste muskurate chehron k gehre saaye me mehsoos karna",0.0,irzam_zia
26,285.0,"""depressed hoon""",2021-09-02 11:46:48+00:00,1.433395985972093e+18, Murshid meko prhna fir apse,0.0,heR_manhuss
27,121.0,"""depression ka""",2013-11-20 06:50:20+00:00,4.030526760672379e+17,Research kehta hay jab log masroof hotay hain to khush hotay hain ore kam depression ka shikar hotay hain.,0.0,Gindarinfo
28,65.0,"""main marna""",2020-05-14 12:19:08+00:00,1.2609074985439437e+18, Wo main marna ka baad hi hongi,0.0,AishaAs15231017
29,927.0,"""depression ka""",2022-02-10 06:52:34+00:00,1.4916663857762468e+18, Thik,0.0,4byes
30,197.0,"""khud se nafrat""",2021-09-08 15:09:09+00:00,1.4356212359588168e+18," 
 ...Tum log kya kar rahe ho yaar?? Ek Insaan Chala gaya.. Ek ke baare me Kuchh pata nahi ki wo abhi kaisi hai... Tum log fir purane zone me aa gaye? Guies please please please aisa mat Kuchh karo ki tumhe khud se nafrat ho jaye ",0.0,pandey20032009
31,614.0,"""depression ka""",2012-10-11 14:37:24+00:00,2.5640312930894643e+17,Pedulikan! Age factor ka depression ka tak tau bersyukur ka kufur nikmat ka... Aku nak tidoq!,0.0,intantantiyana
32,122.0,"""depression hai""",2022-01-12 18:36:42+00:00,1.481334335684948e+18,"Sirf ""kehny ko Jashn-e-bahara hai"" wesy to sab depression hai",0.0,memesbyalishba
33,611.0,"""main suicide""",2014-06-08 17:40:51+00:00,4.7569395306950246e+17,"
 Agr tum nhee man rahee to main suicide kr loon ga .",0.0,Younas__
34,342.0,"""main suicide""",2021-07-02 06:05:33+00:00,1.4108420569441403e+18,     Shukr ha sb sai hwa wrna main suicide krna lgi thi,0.0,RparvaizAshraf
35,984.0,"""depressed hoon""",2021-08-21 14:58:11+00:00,1.429095493146235e+18, Well done!,0.0,Kathy6413
36,181.0,"""depressed hoon""",2021-09-04 09:21:57+00:00,1.4340843053875446e+18,"   Haha acha g 
Shukria shukria ",0.0,Mashoorhamza
37,567.0,"""depression ka""",2022-01-15 06:28:03+00:00,1.4822381298935237e+18,"Girls be like :
“Kafii Attach hogaya hai mery sath.. ab isko ignore kr k depression ka mareez banati hoon ",0.0,HaseebAhmad__
38,702.0,"""khud se nafrat""",2015-05-24 15:20:51+00:00,6.024944743636664e+17, kyu mj koi pagal kuty ne kata hq ini masoom se bachi hun khud se nafrat nh hoti na,0.0,Thedisastrouss
39,933.0,"""main marna""",2017-10-15 21:23:37+00:00,9.19675153088258e+17,  main marna pasand karunga pr Indian railways main safar karna nhi. Kyunki kamcjor kabhi sudhrenge nhi.,0.0,shashankt15
40,969.0,"""depressed hoon""",2019-07-27 17:07:26+00:00,1.1551627930388685e+18, depressed hoon yaar sob kuch leke,0.0,JeonS_bts
41,208.0,"""depression ka""",2022-02-08 09:39:09+00:00,1.490983530436137e+18,"Amitabh sir box office pe dhamaka krne aagye ha phir se
 ",0.0,4byes
42,26.0,"""khud se nafrat""",2012-09-26 13:47:08+00:00,2.509546613837742e+17,"sUnO lOgO...*

mUkAmAl hO gEyA aB dAUr-E-mUhAbBt...*
.
.
""mUjHe aB kHuD sE nAfRaT hO gAi hAi..",0.0,Princegeo1
43,210.0,"""depression ka""",2022-02-08 09:33:52+00:00,1.4909822029934305e+18,  Why not medium also?,0.0,4byes
44,2.0,"""depression ka""",2022-02-10 02:55:00+00:00,1.491606600552833e+18,"   Depression ka shikar nhy ho tum , antidepressant ka ho",0.0,indiantweetrian
45,282.0,"""khud se nafrat""",2021-06-18 16:50:30+00:00,1.4059309356950118e+18,    Abee wo chhokrio mein se ek behan manta hu stud nhi banta na banne ka shauk. Samjh ayaa halwe sheesha dekh tu aur yeh sab bol khud se nafrat  hone lagegi tujhe,0.0,itsKabir16
46,204.0,"""khud se nafrat""",2021-09-05 03:48:11+00:00,1.4343627009859994e+18,Jab koi nahi hota saath tumhare Toh himmat kyun toot jaati hai Dusro ke kaaran dusro ke liye Khud se nafrat kyun hone lag jaati hai.   »»,0.0,rajputprashantx
47,397.0,"""depressed hoon""",2019-09-09 18:01:24+00:00,1.1711214408857928e+18, Saaaal to nee hua ,0.0,MohsinAwaan
48,806.0,"""khud se nafrat""",2020-04-21 19:11:45+00:00,1.2526764138549002e+18,"Suno mujhe tum se nafrat nahi hai 

Khud se nafrat hai maine tumse prem kiya tha aur tumne dil  ko maar diya mere ",0.0,ametheintrovert
